,body,Label
10,"SOCIETY FOR STUDENT MESS SERVICES, PILANI (Registered Under Rajasthan Societies Act, 1958) SSMS Office, Vidya Vihar Campus, BITS Pilani ____________________________________________________________________________________________________________ Greetings, We hope that you are making a smooth transition to on-campus life. Upholding its active spirit to cater in accordance with the best interests of BITSians, the SSMS is pleased to introduce the Night Canteen- offering hygienic snacking options and fully hearty meals post-dinner on a trial basis, from 29th October to 31st October, following the response of which it may be reinstated on a regular basis. Fulfillment of all transactions pertaining to the Night Canteen shall be at the PitStop via Student ID Cards only. Additionally, the PitStop shall be operational with the usual items available for sale during these hours. However, the PitStop will be functional in Night Canteen only and not the regular mess for these three days. Date: 29th October to 31st October 2021 Time: 10:30PM to 1:45AM Location: Ram Budh and Krishna Gandhi mess Please note that entry into RB and KG messes for Night Canteen is permitted to all BITSians regardless of their hostel or gender. The menu at both the messes is also made a little different for the sake of variety. For any queries, please feel free to reach out to the undersigned. Thanks and Regards *Garvit Sukhija* The President SSMS Governing Council Personal Email | University Email",Admin
11,"Dear All, Please note the revised library timings w.e.f 30th October 2021 till further notice. [image: image.png] =E2=80=9CMay the celebrations and festivities surround you and shower you w= ith happiness and success=E2=80=A6. Wishing you a very Happy Diwali in advance.= =E2=80=9D *Thanks * *Dr. Ranjan Sinha Thakur, Librarian*",Admin
12,"Dear Students/PHD Scholars, Please note that for the issue/return/renewal/reservation of library books, registration in the library record is mandatory. Those who have already received the new student card and who have not yet registered/updated in our library system must do so as soon as possible. You are requested to fill the registration form available at library helpdesk. Now onwards, to use the library, you must record your *entry and exit and purpose of your library visit *each time using the Patron Traffic Management System placed at the library's main door. Please record your entry and exit by scanning the barcode available on your card. *Thanks * *Librarian*",Admin
13,"*Greetings from the Students' Union,* It is with a heavy heart that we have to inform you that Shri Mukesh, an employee of the BITS COOP store has passed away on the night of 18th October, 2021. He had been suffering from mouth cancer for the past one year and has left behind a family of which he was the only income source. Shri Ratan Singh, owner of our beloved Gandhi Redi, has also been battling with blood cancer over the past year. We hope that the BITSian community will step forward in their time of need and contribute to reducing their financial burden. Kindly fill the google form given below to donate, the amount would directly be deducted from the SWD account of the student : Form link < Please remember that every single donation counts and will directly impact lives. Let us come together in characteristic BITSian style and support these individuals who have dedicated their lives to this place we all call home. -- *Regards* *Students' Union 2021-22*",Admin
14,"SOCIETY FOR STUDENT MESS SERVICES, PILANI (Registered Under Rajasthan Societies Act, 1958) SSMS Office, Vidya Vihar Campus, BITS Pilani ____________________________________________________________________________________ Dear students and faculty members, Greetings from SSMS! This is to inform you that the SSMS is employing its special kitchen in order to supply good quality sweets at reasonable rates to the faculty members, staff, and the students of BITS Pilani on the auspicious occasion of *Diwali*. The list for these sweets is as follows:- Sr. No. Name of the item 1. Gulab Jamun 2. Mixture 3. Bhujia 4. Mohanthal 5. Rasgulla 6. Chocolate burfee 7. Ladoo 8. Balushai Kindly take note that these sweets are going to be prepared using *pure desi ghee *and that all the raw materials will also be in line with good production standards. You may place your order by filling out the following Google form < before 5 pm on 1 November 2021. (Fill the form multiple times if you want more than one item) Please note that the ordered sweets will have to be collected from *Krishna-Gandhi mess*. There will not be any home/room delivery. Happy Diwali Thanking you, SSMS Governing Council",Admin
15,"Dear All We are pleased to announce the extended library hours during your midterm exam. REVISED LIBRARY TIMINGS *w.e.f 25th October 2021 to 29th October 2021* *MONDAY - FRIDAY* *9:00 AM =E2=80=93 04:00 AM* ISSUE/RETURN TIMINGS MONDAY - FRIDAY 9:30 AM =E2=80=93 3:00 AM *Thanks & regards,* *Dr. Ranjan Sinha Thakur, Librarian*",Admin
16,"Dear Colleagues, This is in reference to the following email sent to students by Chief Warden. Considering the same, a portal namely =E2=80=9C*Student=E2=80=99s Leave Rep= ort (For IC)*=E2=80=9D has been developed and made available to all Instructor In-charges (ICs) under the Academic Services tab of AUGSD-AGSRD website ( Using this portal, ICs will be able to download the list of students whose leave applications have been approved by the Wardens along with the date of their return to campus. Accordingly, you are requested to provide the opportunity to the students for online classes as well as evaluations components (excluding Mid Semester Make-up and Comprehensive Exams) during their leave period. Associate Deans AUGSD/AGSRD ---------- Forwarded message --------- From: Chief Warden Date: Mon, Oct 25, 2021 at 12:42 PM Subject: Leave application Dear Student, We hope that this email finds you well. We are sure that you must be doing well in your mid sem exams and enjoying the campus stay. You will be happy to know that the *leave portal is ON* now. You can apply for the leave from the link: After the login you will find the *leave application* button in the section *Other services. *Read all the instructions carefully and apply for the leave. Please note that you have to upload *parent's consent* before the submission. The form and other instructions are attached herewith. *No further emails for leave related queries.* With best regards, *Navin Singh <",Admin
17,"*Greetings from the Students' Union!* The Students' Union has scheduled a UC-GBM Meet at *7:00 PM* on *30th October 2021*. We invite all the General Body Members to attend the meet, raise any queries and give their valuable suggestions and feedback. The meet will commence with a summary of the work done by the SU since the last UC-GBM meet. The joining details would be shared closer to the event. Kindly fill in any queries to be addressed in the GBM meet in the form attached below: GBM Meet Queries < *Regards* *Students' Union 2021-22*",Admin
18,"SOCIETY FOR STUDENT MESS SERVICES, PILANI (Registered Under Rajasthan Societies Act, 1958) SSMS Office, Vidya Vihar Campus, BITS Pilani ____________________________________________________________________________________________________________ Greetings! Keeping in mind the mid-semester examinations this week, SSMS plans to open the Ram-Budh mess during lunch timings from *October 25th to October 30th, 2021* for Meera Residents. Please keep the following points in mind: 1. All the interested female students are requested to fill this Google Form < a day before the required services. Please do fill the form timely so as to ensure smooth functioning. 2. The form would be open to accepting responses between *11 AM-11:59 PM* every day to register for the next day only. 3. On entering the Ram-Budh Mess, each student is required to sign against the attendance sheet provided at the Pitstop. 4. These services would be at no extra cost. 5. A QR code will be put up at the entrance of both the Meera mess and the Ram-Budh Mess for the students to have easy access to fill up the form. Regards, SSMS Governing Council",Admin
19,"Dear all campus Residents Covid 19 vaccination camp has been arranged today on 23.10.2021,Saturday from 10 am to 12 pm at our Medical center with the help of local Govt.authority.Any eligible person who are due for vaccination either 1st or 2nd dose can get their jab done today in schedule time.Available vaccine will be covisheild. With best Regards Dr.Guru prasad Burnwal CMO",Admin
20,"Dear all campus Residents Covid 19 vaccination camp has been arranged today on 23.10.2021,Saturday from 10 am to 12 pm at our Medical center with the help of local Govt.authority.Any eligible person who are due for vaccination either 1st or 2nd dose can get their jab done today in schedule time. With best Regards Dr.Guru prasad Burnwal CMO",Admin
21,CgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCkhpIEFZVVNIICBHT1lBTCwKWW91 IGhhdmUgYmVlbiBpbnZpdGVkIHRvIHRha2UgVGFyZ2V0IDI1LSBPdGhlcnMgYnkgSGFja2VyRWFy dGguRm9yIHRoZSBjaGFsbGVuZ2UgVGFyZ2V0IDI1LCB5b3UgaGF2ZSByZWdpc3RlcmVkLgpUZXN0 IGRldGFpbHMKCk9wZW5zIGF0OiAyMyBPY3QsIDIwMjEgKFNhdHVyZGF5KSB8IDExOjAwYS5tLgpD bG9zZXMgYXQ6IE9jdCAyMywgMjAyMSAwNDowMCBQTSBJU1QKVGVzdCBEdXJhdGlvbjogMiBocnMg MTUgbWlucwpUZXN0IExpbms6IGh0dHBzOi8vd3d3LmhhY2tlcmVhcnRoLmNvbS9jaGFsbGVuZ2Vz L3Rlc3QvdGFyZ2V0LTI1LW90aGVycy8/bG9naW49MDUyODc1NDQ5N2YwMzU1NmI1OGNjODUxZTc5 MWYxYjEgCgoKSW1wb3J0YW50CgpZb3UgY2FuIHRha2UgdGhpcyB0ZXN0IGFueXRpbWUgYmV0d2Vl biB0aGUgc3RhcnQgZGF0ZS90aW1lIGFuZCBlbmQgZGF0ZS90aW1lLgpPbmNlIHRoZSB0ZXN0IHN0 YXJ0cywgeW91IGNhbm5vdCBwYXVzZSBpdC4gVGhlIHRlc3Qgd2lsbCBydW4gY29udGludW91c2x5 IGZvciAyIGhycyAxNSBtaW5zLgoKQmVmb3JlIHlvdSBiZWdpbgpCZWZvcmUgeW91IHRha2UgdGhl IFRhcmdldCAyNS0gT3RoZXJzLCB3ZSByZWNvbW1lbmQgdGhhdCB5b3UgdGFrZSB0aGUgcHJhY3Rp Y2UgdGVzdCBhIGZldyBkYXlzIGJlZm9yZSB0aGUgYWN0dWFsIHRlc3QuCkFkdmFudGFnZXMgb2Yg dGFraW5nIHRoZSBwcmFjdGljZSB0ZXN0CgpZb3UgZ2V0IGZhbWlsaWFyIHdpdGggdGhlIEhhY2tl ckVhcnRoIFJlY3J1aXQgcGxhdGZvcm0gaW5jbHVkaW5nIHRoZSBwcm9jdG9yaW5nIHNldHRpbmdz LiBUaGUgYWN0dWFsIHRlc3QgbWF5IGhhdmUgZmV3ZXIgcmVzdHJpY3Rpb25zIHRoYW4gdGhlIHBy YWN0aWNlIHRlc3QuIFRoaXMgYWR2YW5jZWQgZmFtaWxpYXJpdHkgd2lsbCBlbmFibGUgeW91IHRv IHNvbHZlIHByb2JsZW1zIG1vcmUgZWZmaWNpZW50bHkgZHVyaW5nIHRoZSBhY3R1YWwgdGVzdC4K QW4gYXV0b21hdGljIHN5c3RlbS1jb21wYXRpYmlsaXR5IGNoZWNrIGlzIHBlcmZvcm1lZCBiZWZv cmUgeW91IHN0YXJ0IHRoZSB0ZXN0LiBJZiB5b3VyIHN5c3RlbSBpc24ndCBjb21wYXRpYmxlLCB5 b3UgbXVzdCBtYWtlIHRoZSByZXF1aXJlZCBjaGFuZ2VzIGJlZm9yZSB5b3UgdGFrZSB0aGUgYWN0 dWFsIHRlc3QuCgpSZWdhcmRzLApUZWFtIEhhY2tlckVhcnRoCgoKCgoKCgoKCgoKCgoKCgoKCgoK Cgo=,Admin
22,"Dear Campus Residents This is to notify that our Dentist Dr. Sanjay Katewa will be on leave on this Saturday 23.10.21.His next visit in our medical center will be on 30.10.21 from 4pm to 6.30 pm.. Please plan your appointment accordingly. Regards CMO,BITS",Admin
23,"BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI (RAJASTHAN) 333031, INDIA MEDICAL CENTER *Notice * Dated- 22-10-2021 With effect from Monday the 25th October, 2021 the Winter Timings of the Medical Centre will be as follow: WEEK DAYS - Morning: From 9.00 AM to 01.00 P.M. Evening: From 5.00 P.M. to 6.30 P.M. SUNDAY - Morning: From: 9.30 A.M. to 11.00 A.M. Chief Medical Officer Medical Center",Admin
24,"*BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE, PILANI, PILANI CAMPUS* *AUGS/AGSR DIVISIONS* * FIRST SEMESTER 2021-22* *NOTICE* The class work will remain suspended during October 25=E2=80=9330, 2021 on = account of Mid Semester Examinations. Please note that classes will remain continue for the *First Degree students admitted in AY 2021-22*. Associate Deans",Admin
25,"*BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE, PILANI* *AUGS/AGSR DIVISION* *Instructions for Examination * *For Offline mode* =C2=B7 Student must check the Examination schedule and seating arrangement for their courses available on AUGSD-AGSRD website. =C2=B7 *It is must to carry student Identity Card during the Examin= ation**. *Students, who fail to produce their ID cards to the invigilator may be asked to leave the Examination hall. =C2=B7 Students should not bring any electronic devices such as* di= gital diaries, palm tops, mobile phones, smart watch etc.* to the Examination Hall. =C2=B7 Exchange of calculators, geometrical tools or any such thing= will not be allowed by the Invigilators. =C2=B7 Students must not involve themselves into any kind of copyin= g / cheating or the use /attempted use of trickery, artifice, and/or representation of one=E2=80=99s academic work. Do not substitute with any o= ther person to write examination on your behalf. Do not allow another to copy your work during examination. *Any such cases reported will be dealt strictly as per the guidelines for the punishment of unfair means cases available on AUGSD-AGSRD website.* =C2=B7 All students must write examination. In case of extreme emergency, where a makeup is sought, you should see the details mentioned in Instruction for make-up available on AUGSD-AGSRD website. =C2=B7 Do not leave the exam room/hall without handing over the ans= wer sheet to the Invigilator on duty. Associate Deans",Admin
26,"Dear Students Please go through the forwarded email. Thanks SM - -------- Forwarded Message -------- Subject: Please Circulate: Research Week with Google 2022 Date: Tue, 19 Oct 2021 11:48:58 +0000 From: rishabhtrivedi@google.com To: sudeeptm@pilani.bits-pilani.ac.in CC: dthakkar@google.com, research-programs-in@google.com Dear Prof. Sudeept Mohan, Hope you are well! I work on University Relations programs at Google Research. We are excited to share notification for a new program for students at your university hosted by Google Research India. Google Research India is hosting a four day *'Research Week with Google'* for Undergraduate, Master's and PhD students in India (combined track for undergraduate and masters students, advanced track for Ph.D students). The program structure is to provide a forum with leading experts to discuss the state-of-art of a variety of ML Techniques and also discuss their limitations and critiques. Research Week with Google will consist of four days of research lectures and discussions where esteemed researchers will discuss ideas and seminal papers in AI Research to understand current developments and debates in the field. This would be a platform to share and learn cutting-edge ideas and developments in the field. We would like to invite applications from final year undergraduate/Master= =E2=80=99s students and PhD students (all years) at your university who are interested in AI from related fields in CS, ECE, EE and other applicable departments. Since we have limited capacity, selection will be competitive. We request you to please circulate this application form < p1HQX41Q4fq-wcvA/viewform> among students.The deadline to apply for the program is 11:59 PM IST, November 15, 2021. For more details visit the program website < Looking forward to seeing several applicants from your institution! Please let Divy (on cc) or I know if you have any questions. Best, Rishabh Trivedi & Divy Thakkar, On behalf of our the organising team and Program chairs (Manish Gupta and Ashwani Sharma) Google Research India ------------------------------ [image: AVG logo] < This email has been checked for viruses by AVG antivirus software. www.avg.com < <#m_-8784117930056942460_DAB4FAD8-2DD7-40BB-A1B8-4E2AA1F9FDF2> --=20 Thanks & regards Dept. of Computer Science & Information Systems BITS-Pilani-333031",Admin
27,"Dear All We are pleased to announce the extended library hours during your midterm exam. REVISED LIBRARY TIMINGS *w.e.f 21st October 2021 to 29th October 2021* *MONDAY - SUNDAY* *9:00 AM =E2=80=93 12:00 Midnight* ISSUE/RETURN TIMINGS MONDAY - SUNDAY 9:30 AM =E2=80=93 11:00 PM *Guidelines to be followed in the library* 1. Except laptops, readers are not allowed to carry their personal belongings (bags, brief-cases, parcels etc.). Their personal belongings should be left at the baggage counter located at the entrance and while leaving the library please make sure you pick up your own bag. 2. Always carry your Student ID card when you are visiting the library, failing so will forbid your entry to the library. 3. Always scan your Entry and exit at the Patron Traffic Manager located at the Library entrance. 4. Eatable items are not permitted in the library. 5. The use of mobile phones and other noisy instruments is prohibited= . 6. Library Users should remain silent in the library and not disrupt other users. Members should not engage in loud conversation in any reading area of the library causing disturbance to fellow readers. 7. Sitting on the table and keeping legs on chairs is not permitted. 8. All users are requested to wear a mask in the library and follow the COVID-19 Safety Guidelines. 9. The library has the right to terminate the membership at any time in case of a violation of rules and regulations. On behalf of our library team, I wish you every success. Thanks Librarian",Admin
28,"Dear Faculty Members, Research Scholars and Students, The Teaching-Learning Centre invites articles for the upcoming issue of the newsletter, Taleem. The focus of the upcoming issue is =E2=80=9CEffective Integration of Teaching and Research=E2=80=9D. Please find below a brief description of the topic: Maintaining a healthy balance between teaching and research has been a topic of much discussion. With research publication acquiring more importance in recent times, there has been a major concern that the quality of teaching might be compromised. While the undergraduate students may not be interested in the latest research in the field, teachers are expected to maintain an active research profile. The tendency to think of research and teaching as mutually exclusive aggravates the situation. In the light of these, the next issue of Taleem aims to initiate a discussion on how teachers can think of ways in which teaching and research can be integrated effectively, thereby evolving a model where teaching and research will be complimentary. The Teaching Learning Centre invites articles from faculty members, research scholars, students, and administrators on the above-mentioned topic. We request you to send us your valuable contributions on any aspect of the questions of =E2=80=9CEffective Integration of Teaching and Research= =E2=80=9D with an approximate limit of four hundred words. You can also contribute to cartoons, memes, etc. The deadline for submission is 15 November 2021. Kindly send your articles to taleem.tlc.bits@gmail.com Regards, Editorial team of Taleem",Admin
29,"*BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI, PILANI CAMPUS* *REGISTRATION & COUNSELING* *FIRST SEMESTER 2021-22* *Notice for Withdrawal of Course (s)* All First degree and higher degree students (*except 2021 admission*) are hereby informed that the course withdrawal option will be available in ERP Portal from *October 30 to November 10, 2021* for the FIRST Semester 2021-22. Important instructions regarding course withdrawal are as follows: =C2=A7 Once a course is withdrawn, it is an irreversible action. =C2=A7 While applying for withdrawal of course(s), please ensure that your graduation requirements (in terms of number of units and number of courses) are not affected. Due to the withdrawal of course(s), any delay in graduation will be an individual student=E2=80=99s responsibility. =C2=A7 Final decision regarding course withdrawal request will be taken by= FIC, Registration & Counseling. Students must confirm the final status of course withdrawal on ERP portal by *November 13*, 2021. =C2=A7 In case of any issue related to login credentials write to *erp.support@hyderabad.bits-pilani.ac.in * *In case of any issue related to withdrawal*, send an email with the subject line* =E2=80=9CIssue related to withdrawal=E2=80=9D to * abhisek.dadhich@pilani.bits-pilani.ac.in *latest by November 10, 2021. *Aft= er this date, no discrepancy case will be entertained. Best wishes *Faculty In-charge, Registration & Counselling* Birla Institute of Technology & Science (BITS), Pilani Pilani Campus, Vidya Vihar Pilani - 333031, Rajasthan, India Phone No. :+91-1596-515220/243",Admin
30,"Dear Student, The CRT in association with Student Union is organising a vaccination camp (Covishield) only for eligible students residing on campus. on 19th October 2021 (Tuesday) in VFAST hostel. Interested students are requested to fill a *query form* < Government has allotted a limited number of vaccine doses for the campus which will be administered on the basis of first come first serve. The exact time slot and date will be informed after getting the confirmation from PHC. With best regards, Team CRT",Admin
31,"Greetings from Pilani Innovation & Entrepreneurship Development Society (PIEDS), BITS Pilani TBI. PIEDS Society has supported startups such as Goodera, pepper content, Elixa= r systems (Kalam Labs), and many more. PIEDS has opened up the call for startups where startups would receive *funding, **business training, expert support, coaching, and mentoring to help you **accelerate the journey of your startup. **APPLY NOW * < 70f> *Who is it for?* 1. You have a start-up idea that you would like to Validate and Develop. 2. You have a definite proof-of-concept (PoC) and you are now looking out for support in developing a Minimum Viable Product (MVP) 3. You are looking out for support in Market Outreach, Commercial launch, Product Development *Which sectors/technologies/domains are we keen on?* You should consider applying to the incubator if you are focusing your efforts on leveraging emerging technologies such as the Internet of things (IoT), Artificial Intelligence, Blockchain, Robotics, data science, AR/VR towards solving problems in any of the following themes/areas: Healthcare, Education, Fintech, SaaS-based startups, Cryptocurrency *How does the program look like?* PIEDS Start-up Incubation program is offered in two flavors to cater to start-ups in different stages of their lifecycle - concept stage startups qualify for pre-incubation (5-6 months); start-ups whose ideas have evolved, are working on an MVP, aiming to scale, are eligible for incubation(18 months) and would be provided funding up to 7 lakhs under TIDE 2.0 scheme of MEIITY, Govt of India. *What do you get from being part of the program?* - Mentoring from Experts of your startup domain - Initial seed funding up to 7 lakhs and investor connects from top VC firms. - Access to the Incubation space and labs/facilities - Technology credits from Amazon Web Services, Freshworks, Digital Ocean, Zoho, Hubspot, Google cloud, Mathworks - Business Services: Vakil Search, Harda & Co, Startup Movers, Mohit Vijay and Associates, Resurgent India, letsventure, ShellE4, HDFC Smartu= p - Resources and networks from other partners such as CIIE-IIMA, IIM Udaipur Incubation, IIM C Innovation Park, ISB=E2=80=93AIC, Banasthali= =E2=80=93AIC, i-start, Villgro, TiE Rajasthan, T-hub, and many more. *Application Process: Deadline Extended to 20th October 2021* Application Link: *APPLY NOW * < 70f>",Admin
32,[image: PhD Midsem 1 SEM 2021-22.jpg],Admin
33,"Dear all, Please note that we are carrying out maintenance work at the IPC Server room, to troubleshoot an issue. Hence there will be some disruptions to the access to the Internet between 8 PM to 9 PM tonight. Sorry for the inconvenience and thank you for your cooperation. Thanking you. [image: image.gif] *Warm Regards,* [image: image.gif] RK[image: image.gif] IT Manager",Admin
34,"Overdue Notice -1 Dear AYUSH GOYAL, Please note that the following books issued to you are now overdue. 15/10/2021 Relativity; the special and the general theory 131081 Einstein, Albert 119774 We request you to please return these books to the library at the earliest. You can get them re-issued if they are not required by other users. For more details please log-in to Note: This is a system generated mail. Please do not reply. Thanking you, Librarian",Admin
35,"Item Due Reminder BITS Pilani Library Dear AYUSH GOYAL, Please note that the following books have been due: 15/10/2021 23:59 Relativity; the special and the general theory Einstein, Albert 131081 For more details please log-in to Note: This is a system generated mail. Please do not reply. Thanking you, Librarian Note: Library has suspended the renewal of issued books on e-mail request. Please use the online renewal facility provided in our library catalogue. You may read the guide for renewal of books <a href="" <b> User guide",Admin
